Framework,Objective,Success,Continue_Work
St. Anns Bank Marine Protected Area,"Conserve and protect all major benthic, demersal (i.e., close to the sea floor) and pelagic (i.e., in the water column) habitats within the MPA, along with their associated physical, chemical, geological and biological properties and processes",Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
St. Anns Bank Marine Protected Area,Conserve and protect biological productivity across all trophic levels so that they are able to fulfill their ecological role in the ecosystems of the MPA,Populations of key species are productive and ecosystems are functioning well.,Management actions should continue to enhance species productivity and sustainable use.
St. Anns Bank Marine Protected Area,"Conserve and protect marine areas of high biodiversity at the community, species, population and genetic levels within the MPA","Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
Maritimes,"Protect unique, rare, or sensitive ecological features","Conservation and protection objectives are being met, supporting healthy ecosystems.",Ongoing efforts are required to fully achieve conservation and protection goals.
Maritimes,Protect representative examples of identified ecosystem and habitat types,Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
Maritimes,"Help maintain ecosystem structure, functioning and resilience (including resilience to climate change)","Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
Maritimes,Contribute to the recovery and conservation of depleted species,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
Maritimes,"Help maintain healthy populations of species of Aboriginal, commercial, and/or recreational importance","Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
EBM,Control unintended incidental mortality for all species,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
EBM,Distribute population component mortality in relation to component biomass,"Fishing and mortality levels are sustainable, allowing species to thrive.",Ongoing regulation and monitoring are needed to maintain sustainable exploitation levels.
EBM,Minimize unintended introduction and transmission of invasive species,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
EBM,Control introduction and proliferation of disease/pathogens,"Risks from disease, invasive species, and pollution are effectively controlled.","Further work is necessary to reduce threats from disease, invasive species, and pollution."
EBM,Minimize aquaculture escapes,"Risks from disease, invasive species, and pollution are effectively controlled.","Further work is necessary to reduce threats from disease, invasive species, and pollution."
EBM,Maintain Species Biodiversity,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
EBM,Maintain Functional Biodiversity,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
EBM,Maintain Ecosystem Resistance,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
EBM,Maintain Habitat Diversity,Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
EBM,Keep fishing and other forms of mortality moderate,"Fishing and mortality levels are sustainable, allowing species to thrive.",Ongoing regulation and monitoring are needed to maintain sustainable exploitation levels.
EBM,Allow sufficient escapement from exploitation for spawning,"Fishing and mortality levels are sustainable, allowing species to thrive.",Ongoing regulation and monitoring are needed to maintain sustainable exploitation levels.
EBM,Limit disturbing activity in important reproductive areas/seasons,"Conservation and protection objectives are being met, supporting healthy ecosystems.",Ongoing efforts are required to fully achieve conservation and protection goals.
EBM,Control alteration of nutrient concentrations affecting primary production,"Conservation and protection objectives are being met, supporting healthy ecosystems.",Ongoing efforts are required to fully achieve conservation and protection goals.
EBM,Maintain/promote ecosystem structure and functioning,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
EBM,"Habitat required for all species, particularly priority species, is maintained and protected",Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
EBM,Fish habitat that has been degraded is restored,Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
EBM,Pollution is prevented and reduced,"Risks from disease, invasive species, and pollution are effectively controlled.","Further work is necessary to reduce threats from disease, invasive species, and pollution."
Laurentian Channel Marine Protected Area,"Protect corals, particularly significant concentrations of sea pens, from harm due to human activities (e.g., fishing, oil and gas exploratory drilling, submarine cable installation and anchoring) in the Laurentian Channel.",Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
Laurentian Channel Marine Protected Area,"Protect Black Dogfish from human induced mortality (e.g., bycatch in the commercial fishery) in the Laurentian Channel","Fishing and mortality levels are sustainable, allowing species to thrive.",Ongoing regulation and monitoring are needed to maintain sustainable exploitation levels.
Laurentian Channel Marine Protected Area,"Protect Smooth Skate from human induced mortality (e.g., bycatch in the commercial fishery) in the Laurentian Channel","Fishing and mortality levels are sustainable, allowing species to thrive.",Ongoing regulation and monitoring are needed to maintain sustainable exploitation levels.
Laurentian Channel Marine Protected Area,"Protect Porbeagle sharks from human induced mortality (e.g., bycatch in the commercial fishery, seismic activities) in the Laurentian Channel","Fishing and mortality levels are sustainable, allowing species to thrive.",Ongoing regulation and monitoring are needed to maintain sustainable exploitation levels.
Laurentian Channel Marine Protected Area,"Promote the survival and recovery of Northern Wolffish by minimizing risk of harm from human activities (e.g., bycatch in the commercial fishery) in the Laurentian Channel",At-risk species are recovering and thriving under protection measures.,Focused conservation efforts are needed to support recovery of at-risk species.
Laurentian Channel Marine Protected Area,"Promote the survival and recovery of Leatherback Sea Turtles by minimizing risk of harm from human activities (e.g., entanglement in commercial fishing gear, seismic activities) in the Laurentian Channel","Fishing and mortality levels are sustainable, allowing species to thrive.",Ongoing regulation and monitoring are needed to maintain sustainable exploitation levels.
Banc-des-Américains Marine Protected Area,conserve and protect benthic (seabed) habitats,Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
Banc-des-Américains Marine Protected Area,conserve and protect pelagic (water column) habitats and forage species (prey),Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
Banc-des-Américains Marine Protected Area,promote the recovery of at-risk whales and wolffish,Marine mammal populations are thriving with minimal human pressures.,Efforts to reduce human impacts should continue to ensure healthy marine mammal populations.
Basin Head Marine Protected Area,Maintain the quality of the marine environment supporting the Basin Head Irish moss (Chondrus crispus),"Water and sediment quality are maintained, supporting ecosystem health.",Ongoing measures are required to improve and sustain water and sediment quality.
Basin Head Marine Protected Area,Maintain the physical structures of the ecosystem supporting the Basin Head Irish moss (Chondrus crispus).,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
Basin Head Marine Protected Area,Maintain the health (biomass and coverage) of the Basin Head Irish moss (Chondrus crispus).,"Conservation and protection objectives are being met, supporting healthy ecosystems.",Ongoing efforts are required to fully achieve conservation and protection goals.
Basin Head Marine Protected Area,"Maintain the overall ecological integrity of the Basin Head lagoon and inner channel. This includes avoidance of excessive Ulva growth, maintenance of adequate oxygen levels, and maintenance of the diversity of indigenous flora and fauna.","Conservation and protection objectives are being met, supporting healthy ecosystems.",Ongoing efforts are required to fully achieve conservation and protection goals.
Eastport – Round Island Marine Protected Area,"Maintain a viable population of American lobster through the conservation, protection, and sustainable use of resources and habitats within the Eastport Peninsula Lobster Management Area (EPLMA)",Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
Eastport – Round Island Marine Protected Area,Ensure the conservation and protection of threatened or endangered species,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
GBF,"Conserve 30% of Land, Waters, and Seas","Water and sediment quality are maintained, supporting ecosystem health.",Ongoing measures are required to improve and sustain water and sediment quality.
GBF,"Enhance Biodiversity in Agriculture, Aquaculture, and Forestry","Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
GBF,Enhance Capacity for Biodiversity Implementation,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
GBF,Ensure Access to and Use of Biodiversity Data,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
GBF,Ensure Access to Justice and Information Related to Biodiversity,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
GBF,Ensure Equitable Sharing of Benefits from Genetic Resources,Biodiversity goals are advancing with inclusive and equitable participation.,Further work is needed to fully achieve biodiversity targets and equitable engagement.
GBF,"Ensure Full, Equitable, Inclusive, and Gender-Responsive Representation","Conservation and protection objectives are being met, supporting healthy ecosystems.",Ongoing efforts are required to fully achieve conservation and protection goals.
GBF,Ensure Gender Equality in Biodiversity Decision-Making,"Water and sediment quality are maintained, supporting ecosystem health.",Ongoing measures are required to improve and sustain water and sediment quality.
GBF,Ensure Participation of Indigenous Peoples and Local Communities,"Conservation and protection objectives are being met, supporting healthy ecosystems.",Ongoing efforts are required to fully achieve conservation and protection goals.
GBF,Ensure Recognition of Rights of Indigenous Peoples and Local Communities,"Conservation and protection objectives are being met, supporting healthy ecosystems.",Ongoing efforts are required to fully achieve conservation and protection goals.
GBF,Ensure Recognition of Rights over Digital Sequence Information,"Conservation and protection objectives are being met, supporting healthy ecosystems.",Ongoing efforts are required to fully achieve conservation and protection goals.
GBF,Ensure Recognition of Rights over Genetic Resources,Biodiversity goals are advancing with inclusive and equitable participation.,Further work is needed to fully achieve biodiversity targets and equitable engagement.
GBF,Ensure Recognition of Rights over Traditional Knowledge Associated with Digital Sequence Information,Biodiversity goals are advancing with inclusive and equitable participation.,Further work is needed to fully achieve biodiversity targets and equitable engagement.
GBF,Ensure Recognition of Rights over Traditional Knowledge Associated with Genetic Resources,Biodiversity goals are advancing with inclusive and equitable participation.,Further work is needed to fully achieve biodiversity targets and equitable engagement.
GBF,Ensure Recognition of Traditional Knowledge,Biodiversity goals are advancing with inclusive and equitable participation.,Further work is needed to fully achieve biodiversity targets and equitable engagement.
GBF,Ensure Sustainable Use of Wild Species,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
GBF,Increase Financial Resources for Biodiversity,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
GBF,Increase the Area of Protected Areas and Other Effective Area-Based Conservation Measures,"Conservation and protection objectives are being met, supporting healthy ecosystems.",Ongoing efforts are required to fully achieve conservation and protection goals.
GBF,Integrate Biodiversity into Decision-Making,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
GBF,Plan and Manage all Areas To Reduce Biodiversity Loss,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
GBF,Prevent and Mitigate Invasive Alien Species,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
GBF,Reduce Pollution Risks to Biodiversity,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
GBF,Restore 30% of all Degraded Ecosystems,"Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
